SchemeCode,SchemeName
Scheme Code,ISIN Div Reinvestment
119551,INF209KA13Z9
119552,-
119553,-
108272,INF209KA11Z3
110282,-
108274,-
110490,-
106157,-
108273,-
103176,-
119550,-
128952,-
120437,INF846K01CU0
120438,-
120439,INF846K01CS4
120436,INF846K01CW6
128953,-
117447,INF846K01CC8
117446,-
117449,INF846K01CG9
117448,INF846K01CE4
152164,INF0QA701631
152163,INF0QA701623
152165,-
152166,INF0QA701573
152162,-
152167,INF0QA701581
121936,-
127471,INF194KA1JD3
121934,INF194K010N5
121279,-
121281,INF194K017G4
121935,INF194K011N3
121938,-
121933,-
127470,INF194KA1JC5
121931,INF194K016M4
121280,-
121282,INF194K012D2
121932,INF194K017M2
121937,-
148629,INF955L01KG9
148628,-
148630,INF955L01KE4
148625,-
148626,INF955L01KB0
148627,INF955L01JZ1
150505,-
150507,INF760K01KD2
150503,-
150504,INF760K01KG5
124175,-
124178,INF740K01A26
124182,INF740KA1OF7
124176,INF740K01ZY8
124177,INF740K01A00
124183,INF740KA1OH3
124172,-
124174,INF740K01ZV4
124173,INF740KA1OI1
124180,INF740K01ZR2
124181,INF740K01ZT8
124179,INF740KA1OK7
140286,-
140288,INF843K01FE4
140291,-
140293,INF843K01FH7
140290,-
140283,-
140284,INF843K01FM7
140294,-
140292,INF843K01FP0
140289,-
129008,-
129006,-
129009,INF090I01KT4
129007,INF090I01KQ0
128628,-
128629,-
128627,INF179KA1JE0
128626,INF179KA1JB6
151108,INF917K01HL7
151107,-
151106,INF917K01HI3
151109,INF917K01HK9
151102,INF677K01AF4
151104,-
151105,INF677K01AJ6
151103,INF917K01HM5
112343,INF109K01RV9
112344,INF109K01RU1
130897,-
120257,INF109K01Z97
120256,-
120258,INF109K012A2
120255,INF109K014A8
130950,-
131148,INF109KA1M88
112342,-
116174,INF109K01YD3
131147,INF109KA1M62
113247,INF109K01JM5
113242,-
113243,INF109K01IJ3
118234,INF205K01JX8
120444,-
120443,INF205K01KS6
120445,INF205K01KV0
118232,-
118233,INF205K01JY6
148534,-
148536,INF00XX01887
148535,-
148533,INF00XX01853
123688,INF174K01FR6
123858,INF174K01SD9
123859,-
123690,-
123691,INF174K01FP0
123689,INF174K01KJ3
123693,-
123692,-
120337,INF767K01GM6
120338,-
120339,INF767K01GN4
120336,INF767K01GO2
105822,INF767K01527
105823,-
105856,INF767K01550
105857,INF767K01576
148419,-
148417,INF769K01FZ6
148416,-
148418,INF769K01FW3
134552,-
134547,-
134546,-
134545,-
134555,INF204KA1U87
134550,INF204KA1V45
134556,INF204KA1V03
134554,INF204KA1V29
134548,INF204KA1T80
134549,INF204KA1U46
134551,INF204KA1U04
134553,INF204KA1U20
125502,INF200K01V16
125503,-
125505,INF200K01V57
125504,INF200K01V24
125498,-
125499,INF200K01U58
125501,INF200K01U90
125500,INF200K01U66
134363,-
134370,INF903J013J2
134369,INF903J014J0
134355,-
134358,INF903J010I0
134356,-
134359,INF903J012I6
134361,-
134362,INF903J013I4
134360,INF903J011I8
119629,-
119627,INF903J01PC1
119625,-
119626,INF903J01PE7
118326,-
100782,INF903J01IP8
100784,-
100793,INF903J01IR4
100783,INF903J01IQ6
100781,-
100780,INF903J01IM5
148656,-
148655,-
148672,INF0GCD01172
148678,INF0GCD01115
148681,INF0GCD01131
148670,INF0GCD01156
148675,INF0GCD01123
148669,INF0GCD01081
148667,INF0GCD01024
148674,INF0GCD01040
148668,INF0GCD01065
148679,INF0GCD01032
140135,INF789FA1V11
133972,INF789FA1V37
126940,-
141375,INF789FA1U95
134026,INF789FC1HF8
126942,INF789F017Z2
140116,INF789FA1U53
133971,INF789FA1U79
139407,INF789FA1U38
136110,INF789FC1HD3
126941,INF789F013Z1
126939,-
119533,-
103178,-
124832,-
119532,INF209KA1KU8
124833,-
103183,INF209K01DL8
141586,-
141590,INF846K01ZR7
141591,INF846K01ZT3
141587,INF846K01ZP1
141588,-
141589,-
141594,INF846K01ZZ0
141595,INF846K01A11
141592,INF846K01ZX5
141593,-
139201,INF194KA1T42
135916,-
139200,INF194KA1T18
139198,INF194KA1S50
135917,INF194KA1M49
139199,INF194KA1S84
139204,INF194KA1S27
135914,-
139203,INF194KA1R93
139202,INF194KA1R36
135915,INF194KA1M07
139205,INF194KA1R69
150230,INF251K01EO2
150229,-
150231,INF251K01EK0
150228,INF251K01EM6
150236,INF251K01GV2
150237,-
150238,INF251K01GR0
150239,INF251K01GT6
150233,INF251K01EV7
150235,-
150234,INF251K01ER5
150232,INF251K01ET1
126685,-
126686,INF760K01HD8
126687,-
126688,INF760K01HA4
144646,-
144647,INF740KA1KG3
144651,INF740KA1KI9
144648,INF740KA1KK5
144644,-
144650,INF740KA1JZ5
144645,INF740KA1KB4
144649,INF740KA1KD0
119289,-
118569,-
100528,-
100532,-
100527,INF090I01DI2
118570,INF090I01FY4
118573,INF090I01FV0
118571,INF090I01FR8
118572,INF090I01FT4
100531,INF090I01DO0
100529,INF090I01DK8
100530,INF090I01DM4
113070,-
118987,-
132848,INF179KA1D25
132849,-
113071,INF179K01DE8
118986,INF179K01XC0
151000,INF917K01VY1
150996,-
150998,INF917K01HO1
150997,INF917K01HQ6
151001,INF917K01WA9
150992,-
150993,INF917K01AG2
150994,INF917K01AJ6
150995,-
130947,-
111988,-
120695,-
120696,INF109K015B3
120692,-
131152,INF109KA1N20
120697,INF109K018B7
120694,INF109K012C8
120693,INF109K011C0
111990,INF109K01CS7
111987,-
131151,INF109KA1N04
111991,INF109K01CT5
111982,-
111985,-
111989,INF109K01SM6
111992,INF109K01SO2
111976,-
111978,INF109K01CH0
111972,-
111979,INF109K01CI8
111980,INF109K01CJ6
111977,INF109K01CG2
106179,INF205K01QY1
120500,INF205K01RB7
120499,INF205K01RE1
120497,-
120496,INF205K01RH4
120501,INF205K01RJ0
116109,INF205K01RL6
106177,-
106171,INF205K01RO0
106172,INF205K01RQ5
133770,-
133791,-
133792,-
133772,-
133782,-
133787,INF178L01BP8
133777,-
133779,-
133771,-
133783,-
133776,-
133786,INF178L01BT0
148755,-
148756,INF769K01HE7
148757,-
148758,INF769K01HB3
109472,INF204K01EG7
118808,INF204K01C23
125266,INF204KA1EP6
118809,INF204K01C64
118811,INF204K01C80
118812,INF204K01C49
118807,-
118814,-
100859,-
100856,-
125267,INF204KA1EN1
100857,INF204K01EK9
100858,INF204K01EM5
109473,INF204K01EI3
138317,INF223J01CZ3
138329,-
138330,-
138331,-
138332,INF223J01OS3
138318,-
138316,INF223J01DD8
138323,-
138315,INF223J01DF3
138336,-
138324,-
138333,-
138334,-
146215,-
146212,INF200KA1YT0
146216,INF200KA1YV6
146207,-
146208,INF200KA1YO1
146210,INF200KA1YQ6
119628,INF903J01PD9
119631,INF903J01OZ5
119621,-
119624,INF903J01OY8
119622,INF903J01NT0
119630,INF903J01NV6
100788,INF903J01IE2
100787,INF903J01ID4
100785,INF903J01IB8
100786,INF903J01IC6
100789,-
149361,-
149364,-
149357,INF277KA1273
149355,-
149356,INF277KA1265
149362,-
149358,INF277KA1281
149351,-
149353,-
149363,INF277KA1349
149360,-
149352,INF277KA1331
149354,-
149359,INF277KA1356
151320,-
151321,INF0GCD01578
151322,-
151319,INF0GCD01545
143241,-
143242,INF582M01DV3
143239,-
143240,INF582M01DZ4
148085,-
148086,-
148076,INF789F1APL2
148090,INF789F1APN8
148091,INF789F1APJ6
148092,INF789F1APH0
148075,INF789F1APC1
148088,INF789F1APE7
148087,INF789F1APA5
148089,INF789F1AOY8
144344,INF789F1A595
144341,INF789F1A611
144339,-
144340,INF789F1A579
144346,INF789F1A553
144337,INF789F1A504
144338,INF789F1A520
144345,-
144343,INF789F1A488
144342,INF789F1A462
134385,INF209KA1L04
134388,-
134387,-
134386,INF209KA1K62
134384,-
134383,-
130314,-
130312,INF846K01PN7
130311,INF846K01PL1
130309,-
130313,INF846K01PS6
130310,INF846K01PQ0
140605,INF194KA1X12
140608,INF194KA1W13
140609,-
140611,INF194KA1V89
140612,INF194KA1V22
140607,INF194KA1V55
140610,INF194KA1X46
140603,-
140606,INF194KA1W54
140604,INF194KA1W88
133868,-
133867,-
152903,INF955L01JA4
152905,INF955L01JE6
152892,-
152899,INF955L01JQ0
152894,INF955L01JO5
152898,-
152897,INF955L01JJ5
152896,INF955L01JH9
152895,INF955L01JL1
133520,-
133524,-
152900,INF955L01JK3
133488,-
152901,INF955L01JD8
152902,INF955L01JC0
152904,-
133486,-
133517,-
133518,-
148350,-
148333,-
148334,INF955L01IX8
148349,-
148330,-
148331,INF955L01IS8
148332,INF955L01IQ2
152893,INF955L01JN7
148335,INF955L01IV2
119084,INF740K01OW6
119082,-
119083,INF740K01OU0
119087,INF740KA1NX2
119085,INF740K01OY2
119086,INF740KA1NZ7
101839,INF740K01AB9
101840,INF740KA1OA8
117061,INF740K01JV8
117062,INF740K01JX4
101838,INF740K01FQ6
101837,-
118553,-
118552,INF090I01JK5
116153,-
116154,INF090I01ER1
148304,-
148303,-
147956,-
147955,-
147957,-
147954,-
147959,-
147958,-
147961,-
148305,-
147960,-
148306,-
128053,-
128051,-
133148,INF179KA1I79
133147,INF179KA1I53
128050,INF179KA1GB2
128052,INF179KA1GE6
151047,INF917K01UK2
151045,-
151044,INF917K01UI6
151046,INF917K01UM8
151043,-
151042,INF917K01122
151041,INF917K01CU9
134342,INF109KB1AG8
130943,-
134341,INF109KB1AE3
120711,-
120710,INF109K01V26
120709,INF109K01V42
130944,-
114239,-
114241,INF109K01GY6
114240,INF109K01GW0
130725,INF205K01J25
130722,-
130724,INF205K01J17
130726,INF205K01I75
130721,-
130723,INF205K01I67
119740,-
117716,-
119741,-
117715,INF174K01EF4
112938,-
112939,-
148262,INF204KB18P8
148264,INF204KB16P2
148263,INF204KB14Q5
148260,INF204KB12Q9
118780,-
132873,-
118781,INF204K01A90
132871,INF204KA1WS2
112941,INF204K01FS9
148101,-
148096,INF204KB16L1
148098,INF204KB14L6
148094,-
148097,INF204KB12M8
148100,-
148095,INF204KB10M2
148261,-
148258,-
148259,-
119792,INF200K01SS0
119793,INF200K01SU6
119798,-
118211,INF200K01QK1
102505,-
102506,INF200K01701
148239,INF789F1ARH6
148241,INF789F1ARL8
148242,-
148238,INF789F1ARJ2
148240,INF789F1ARN4
148245,INF789F1ARE3
148234,INF789F1ARS3
148236,INF789F1ARW5
148237,-
148235,INF789F1ARU9
148244,INF789F1ARY1
148243,INF789F1ARP9
148432,-
148427,-
148429,-
148430,-
148431,-
148428,-
148420,-
148426,-
148425,-
148424,-
148423,-
148422,-
147659,INF789F1AMM7
147656,INF789F1AMQ8
147651,-
147660,INF789F1AMO3
147653,INF789F1AMS4
147655,INF789F1AMJ3
147657,INF789F1AMX4
147654,INF789F1ANB8
147650,-
147658,INF789F1AMZ9
147652,INF789F1AND4
147649,INF789F1AMU0
148147,-
148146,-
148156,INF789F1ANI3
148151,INF789F1ANM5
148145,INF789F1ANK9
148154,INF789F1ANO1
148150,INF789F1ANF9
148155,INF789F1ANT0
148149,INF789F1ANX2
148152,INF789F1ANV6
148153,INF789F1ANZ7
148148,INF789F1ANQ6
117981,-
135290,INF789FB1U36
136302,INF789FB1U51
120764,-
135418,INF789FA1W10
131419,INF789FB1U10
120765,INF789F01YD2
133344,INF789FA1V78
135051,INF789FA1V94
135419,INF789FA1V52
131418,INF789FB1T96
117982,INF789F01RB0
122612,-
122715,-
122721,INF579M01316
122717,INF579M01324
122711,-
122720,INF579M01258
122719,INF579M01233
122712,INF579M01241
119505,-
102767,-
132918,-
119503,-
119502,-
132917,-
111521,INF209K01DG8
102766,INF209K01DH6
111848,-
120451,-
120450,INF846K01DK9
120452,INF846K01DM5
115068,-
115131,INF846K01958
115069,INF846K01933
108561,INF194K01QH2
108675,INF194K01QK6
111524,-
122868,INF194K019R7
111523,INF194K01QN0
131397,INF194KA1TN1
118415,INF194K01O05
118416,-
122618,INF194K012P6
118417,INF194K01O39
131396,INF194KA1TQ4
118418,INF194K01N71
150179,INF251K01GX8
150180,-
150181,INF251K01HE6
150182,INF251K01HA4
150183,INF251K01HC0
150184,INF251K01GY6
150174,INF251K01DX5
150173,-
150178,INF251K01EE3
150176,INF251K01EA1
150177,INF251K01EC7
150175,INF251K01DY3
150172,-
118284,-
118283,INF760K01EB9
111962,-
111963,INF760K01431
119239,-
119238,INF740K01QK6
119240,INF740KA1OX0
119236,INF740K01QJ8
119237,INF740KA1OZ5
105669,-
105668,INF740K01GN1
111786,INF740KA1PA5
105667,INF740K01GL5
105878,INF740K01GP6
118495,-
118496,INF090I01HA0
100498,INF090I01BO4
148308,-
148307,-
147982,-
147984,-
147983,-
147981,-
147985,-
147988,-
147987,-
148309,-
100499,-
147986,-
148310,-
145589,-
145590,-
145596,INF666M01EL3
145595,INF666M01EP4
145591,INF666M01ER0
145597,INF666M01EN9
145593,INF666M01ET6
145598,INF666M01EX8
145592,INF666M01EZ3
145594,INF666M01EV2
101872,-
119075,-
119072,INF179K01WD0
101874,INF179K01863
133369,-
133370,-
119073,INF179K01WF5
101873,INF179K01889
119074,INF179K01WH1
101875,INF179K01939
151088,INF917K01VM6
151087,-
151086,INF917K01GY2
151089,INF917K01VO2
151084,-
151085,INF677K01932
113218,INF109K01GP4
130937,-
120601,INF109K013E2
120603,-
120600,INF109K015E7
120602,INF109K018E1
120604,INF109K010F5
130938,-
112096,-
112097,INF109K01GL3
112094,-
113403,INF109K01GF5
101351,INF109K01704
113220,INF109K01GJ7
101350,-
